source,web-scraper-order,price,size,location,classification,roads,price per foot
Property Finder,1746263897-1537,87826,236,Busaiteen,RHA,1,34.6
Property Finder,1746265154-2031,111258,299,Sanabis,RB,1,34.6
Bahrain Finder,1746267931-1527,131000,352,A'ali,RB,1,34.6
Bahrain Finder,1746267986-1926,30009,80.6,Manama,RHB,1,34.6
Bahrain Finder,1746268011-2099,120000,322,Tubli,RB,1,34.6
Property Finder,1746261061-429,94064,253,Busaiteen,RHA,1,34.5
Property Finder,1746261618-647,66844,180,Busaiteen,RHA,1,34.5
Property Finder,1746261665-666,115566,311,Sanabis,RB,1,34.5
Property Finder,1746262688-1064,100266,270,Jeblat Hebshi,RA,1,34.5
Property Finder,1746263750-1479,62000,167,Sitra,RHB,1,34.5
Property Finder,1746263806-1501,106988,288,Busaiteen,RHA,1,34.5
Bahrain Finder,1746267784-462,60197,162.1,Barbar,RHA,1,34.5
Bahrain Finder,1746268033-2245,60000,162,Hamalah,RHA,1,34.5
Bahrain Finder,1746268111-2818,79693,214.6,Samaheej,RHA,1,34.5
Bahrain Finder,1746268128-2934,67000,181.2,Arad,RHA,1,34.5
Bahrain Finder,1746268233-3685,100267,270,Jablat Hibshi,RA,1,34.5
Property Finder,1746261148-463,100000,270,Jeblat Hebshi,RA,1,34.4
Property Finder,1746262533-1004,117000,316,Sitra,RA,1,34.4
Property Finder,1746265149-2029,190000,513,Galali,RA,1,34.4
Bahrain Finder,1746267861-1027,81869,221.1,Diyar Al Muharraq,RHA,2,34.4
Bahrain Finder,1746267881-1162,63000,170,Sanabis,RHB,2,34.4
Bahrain Finder,1746267914-1416,60000,162.1,Barbar,RHA,1,34.4
Bahrain Finder,1746267994-1973,60000,162,Hamalah,RHA,1,34.4
Bahrain Finder,1746268111-2815,83000,224.5,Saraya 2,RHA,2,34.4
Bahrain Finder,1746268199-3466,100000,270,Jablat Hibshi,RA,2,34.4
Bahrain Finder,1746268213-3544,84000,226.8,Sanabis,RHB,1,34.4
Property Finder,1746260289-128,85000,230,Arad,RHA,1,34.3
Property Finder,1746262346-931,150000,406,Saar,RA,1,34.3
Bahrain Finder,1746267792-519,150000,406.6,Sar,RA,2,34.3
Bahrain Finder,1746267856-990,113002,306.3,Arad,RA,1,34.3
Bahrain Finder,1746267931-1528,141000,381.4,A'ali,RB,2,34.3
Bahrain Finder,1746268179-3299,85000,230.4,Arad,RHA,1,34.3
Bahrain Finder,1746268205-3475,117000,316.5,Sitra,RA,1,34.3
Property Finder,1746262235-888,75000,204,Nuwaidrat,RHA,1,34.2
Bahrain Finder,1746267955-1723,61019,165.9,Barbar,RHA,1,34.2
Property Finder,1746260773-317,112684,307,Jidhafs,RA,1,34.1
Property Finder,1746260976-396,127980,349,Saraya 2,RA,1,34.1
Property Finder,1746261253-504,122000,332,Samaheej,RA,1,34.1
Property Finder,1746261422-571,84000,229,Bani Jamra,RHA,1,34.1
Property Finder,1746261494-598,129518,353,Janabiya,RA,1,34.1
Property Finder,1746262328-924,66000,180,Busaiteen,RHA,1,34.1
Property Finder,1746262476-982,114806,313,Galali,RA,1,34.1
Property Finder,1746262758-1092,125000,341,Al Qurayyah,RA,1,34.1
Property Finder,1746265433-2142,67119,183,Malkiyah,RHA,1,34.1
Bahrain Finder,1746267893-1256,60123,163.8,Sitra,RHA,1,34.1
Bahrain Finder,1746268179-3308,80972,220.6,Hamalah,RHA,2,34.1
Property Finder,1746260123-63,67000,183,Malkiyah,RHA,1,34
Property Finder,1746261251-503,131385,359,Janabiya,RA,1,34
Property Finder,1746261311-526,75000,205,Nuwaidrat,RHA,1,34
Property Finder,1746262510-996,130653,357,Janabiya,RB,1,34
Property Finder,1746262700-1069,160151,437,Sanabis,RB,1,34
Property Finder,1746263535-1395,80514,220,Muharraq,RHA,1,34
Property Finder,1746264457-1756,243000,664,Shakhura,RB,1,34
Property Finder,1746264761-1876,73300,200,Hamala,RA,1,34
Property Finder,1746265363-2114,124761,341,Nabih Saleh,RA,1,34
Bahrain Finder,1746267736-109,145292,397,Buqwa,RA,2,34
Bahrain Finder,1746267784-461,145548,397.7,Sar,RA,2,34
Bahrain Finder,1746267804-605,117259,320.4,Buqwa,RA,1,34
Bahrain Finder,1746267808-623,183354,501,Busaiteen,RB,1,34
Bahrain Finder,1746267820-711,73000,200.1,Muharraq,RHA,1,34
Bahrain Finder,1746267820-728,135265,369.6,Maqaba,RA,1,34
Bahrain Finder,1746267824-766,125969,344.2,Juffair,RHA,2,34
Bahrain Finder,1746267828-781,225075,615,Barbar,RHB,2,34
Bahrain Finder,1746267828-794,59000,163,Malkiya,RHA,1,34
Bahrain Finder,1746267832-829,132410,361.8,Busaiteen,RB,1,34
Bahrain Finder,1746267836-849,73415,200.6,Hamalah,RA,1,34
Bahrain Finder,1746267856-1010,143206,391.3,Maqaba,RA,1,34
Bahrain Finder,1746267893-1259,73305,200.3,Hamalah,RA,1,34
Bahrain Finder,1746267901-1322,118686,324.3,Northen Sehla,RA,,34
Bahrain Finder,1746267914-1405,73415,200.6,Lawzi,RA,1,34
Bahrain Finder,1746267914-1406,73305,200.3,Lawzi,RA,1,34
Bahrain Finder,1746267923-1465,111110,303.6,Daih,RA,1,34
Bahrain Finder,1746267923-1472,129519,353.9,Sar,RA,1,34
Bahrain Finder,1746267927-1508,152392,416.4,Janabiyah,RB,2,34
Bahrain Finder,1746267935-1563,194406,531.2,Sar,RA,1,34
Bahrain Finder,1746267939-1581,120333,328.8,Maqshaa,RA,2,34
Bahrain Finder,1746267947-1649,152392,416.4,Daih,RA,2,34
Bahrain Finder,1746268007-2083,129775,354.6,A'ali,RA,2,34
Bahrain Finder,1746268011-2114,99472,271.8,Sitra,RB,1,34
Bahrain Finder,1746268054-2395,73304,200.3,Hamalah,RA,1,34
Bahrain Finder,1746268087-2638,190966,521.8,Hidd,RA,2,34
Bahrain Finder,1746268099-2745,127980,349.7,Buqwa,RA,1,34
Bahrain Finder,1746268099-2746,127981,349.7,Buqwa,RA,1,34
Bahrain Finder,1746268107-2786,112611,307.7,Daih,RA,1,34
Bahrain Finder,1746268111-2819,73305,200.3,Hamalah,RHA,1,34
Bahrain Finder,1746268111-2823,150819,412.1,Maqaba,RA,2,34
Bahrain Finder,1746268120-2889,75000,204.9,Nuwaydirat,RHA,1,34
Bahrain Finder,1746268128-2940,111257,304,Buqwa,RA,1,34
Bahrain Finder,1746268153-3138,218854,598,Sanad,RA,1,34
Bahrain Finder,1746268162-3197,59000,162,Hamalah,RHA,1,34
Bahrain Finder,1746268175-3265,112611,307.7,Barbar,RA,1,34
Bahrain Finder,1746268179-3313,112000,307.9,Maqshaa,RA,1,34
Bahrain Finder,1746268187-3361,131385,359,Janabiyah,RA,2,34
Bahrain Finder,1746268195-3421,80000,220,Durrat Al Muharraq,RHA,1,34
Bahrain Finder,1746268195-3422,80000,220,Durrat Al Muharraq,RHA,1,34
Bahrain Finder,1746268205-3500,144780,395.6,Sanabis,RHA,2,34
